State,Sector,GDP
New York,Plastics and rubber products manufacturing,$2036
New York,Computer and electronic product manufacturing,$8393
New York,Machinery manufacturing,$5523
New York,Wood product manufacturing,$444
New York,Furniture and related product manufacturing,$880
New York,Nonmetallic mineral product manufacturing,$1412
New York,Textile mills and textile product mills,$704
New York,"Electrical equipment, appliance, and component manufacturing",$1333
New York,Miscellaneous manufacturing,$3928
New York,Apparel and leather and allied product manufacturing,$2110
New York,Printing and related support activities,$1700
North Carolina,"Motor vehicle, body, trailer, and parts manufacturing",$2284
North Carolina,Petroleum and coal products manufacturing,$437
North Carolina,Chemical manufacturing,$23962
North Carolina,Primary metal manufacturing,$833
North Carolina,Paper manufacturing,$1697
North Carolina,Food and beverage and tobacco product manufacturing,$19852
North Carolina,Fabricated metal product manufacturing,$3033
North Carolina,Other transportation equipment manufacturing,$1275
North Carolina,Plastics and rubber products manufacturing,$3697
North Carolina,Computer and electronic product manufacturing,$7442
North Carolina,Machinery manufacturing,$5083
North Carolina,Wood product manufacturing,$998
North Carolina,Furniture and related product manufacturing,$1870
North Carolina,Nonmetallic mineral product manufacturing,$1322
North Carolina,Textile mills and textile product mills,$2696
North Carolina,"Electrical equipment, appliance, and component manufacturing",$3577
North Carolina,Miscellaneous manufacturing,$2382
North Carolina,Apparel and leather and allied product manufacturing,$834
North Carolina,Printing and related support activities,$807
North Dakota,"Motor vehicle, body, trailer, and parts manufacturing",$108
North Dakota,Petroleum and coal products manufacturing,$248
North Dakota,Chemical manufacturing,$81
North Dakota,Primary metal manufacturing,$3
North Dakota,Paper manufacturing,$15
North Dakota,Food and beverage and tobacco product manufacturing,$706
North Dakota,Fabricated metal product manufacturing,$157
North Dakota,Other transportation equipment manufacturing,$67
North Dakota,Plastics and rubber products manufacturing,$94
North Dakota,Computer and electronic product manufacturing,$91
North Dakota,Machinery manufacturing,$733
North Dakota,Wood product manufacturing,$116
North Dakota,Furniture and related product manufacturing,$41
North Dakota,Nonmetallic mineral product manufacturing,$123
North Dakota,Textile mills and textile product mills,$15
North Dakota,"Electrical equipment, appliance, and component manufacturing",$8
North Dakota,Miscellaneous manufacturing,$22
North Dakota,Apparel and leather and allied product manufacturing,$6
North Dakota,Printing and related support activities,$38
Ohio,"Motor vehicle, body, trailer, and parts manufacturing",$6900
Ohio,Petroleum and coal products manufacturing,$8215
Ohio,Chemical manufacturing,$11175
Ohio,Primary metal manufacturing,$4547
Ohio,Paper manufacturing,$1999
Ohio,Food and beverage and tobacco product manufacturing,$9050
Ohio,Fabricated metal product manufacturing,$10048
Ohio,Other transportation equipment manufacturing,$3662
Ohio,Plastics and rubber products manufacturing,$5318
Ohio,Computer and electronic product manufacturing,$2037
Ohio,Machinery manufacturing,$6842
Ohio,Wood product manufacturing,$809
Ohio,Furniture and related product manufacturing,$1020
Ohio,Nonmetallic mineral product manufacturing,$2269
Ohio,Textile mills and textile product mills,$438
Ohio,"Electrical equipment, appliance, and component manufacturing",$3472
Ohio,Miscellaneous manufacturing,$1922
Ohio,Apparel and leather and allied product manufacturing,$145
Ohio,Printing and related support activities,$1494
Oklahoma,"Motor vehicle, body, trailer, and parts manufacturing",$444
Oklahoma,Petroleum and coal products manufacturing,$2856
Oklahoma,Chemical manufacturing,$909
Oklahoma,Primary metal manufacturing,$274
Oklahoma,Paper manufacturing,$537
Oklahoma,Food and beverage and tobacco product manufacturing,$1618
Oklahoma,Fabricated metal product manufacturing,$2064
Oklahoma,Other transportation equipment manufacturing,$542
Oklahoma,Plastics and rubber products manufacturing,$905
Oklahoma,Computer and electronic product manufacturing,$842
Oklahoma,Machinery manufacturing,$2951
Oklahoma,Wood product manufacturing,$148
Oklahoma,Furniture and related product manufacturing,$90
Oklahoma,Nonmetallic mineral product manufacturing,$657
Oklahoma,Textile mills and textile product mills,$26
Oklahoma,"Electrical equipment, appliance, and component manufacturing",$265
Oklahoma,Miscellaneous manufacturing,$327
Oklahoma,Apparel and leather and allied product manufacturing,$299
Oklahoma,Printing and related support activities,$161
Oregon,"Motor vehicle, body, trailer, and parts manufacturing",$326
Oregon,Petroleum and coal products manufacturing,$122
Oregon,Chemical manufacturing,$528
Oregon,Primary metal manufacturing,$942
Oregon,Paper manufacturing,$997
Oregon,Food and beverage and tobacco product manufacturing,$2124
Oregon,Fabricated metal product manufacturing,$1018
Oregon,Other transportation equipment manufacturing,$534
Oregon,Plastics and rubber products manufacturing,$493
Oregon,Computer and electronic product manufacturing,$37823
Oregon,Machinery manufacturing,$998
Oregon,Wood product manufacturing,$1527
Oregon,Furniture and related product manufacturing,$270
Oregon,Nonmetallic mineral product manufacturing,$398
Oregon,Textile mills and textile product mills,$49
Oregon,"Electrical equipment, appliance, and component manufacturing",$285
Oregon,Miscellaneous manufacturing,$635
Oregon,Apparel and leather and allied product manufacturing,$141
Oregon,Printing and related support activities,$386
Pennsylvania,"Motor vehicle, body, trailer, and parts manufacturing",$840
Pennsylvania,Petroleum and coal products manufacturing,$1547
Pennsylvania,Chemical manufacturing,$10439
Pennsylvania,Primary metal manufacturing,$5331
Pennsylvania,Paper manufacturing,$3813
Pennsylvania,Food and beverage and tobacco product manufacturing,$8217
Pennsylvania,Fabricated metal product manufacturing,$7058
Pennsylvania,Other transportation equipment manufacturing,$3095
Pennsylvania,Plastics and rubber products manufacturing,$3927
Pennsylvania,Computer and electronic product manufacturing,$4175
Pennsylvania,Machinery manufacturing,$4923
Pennsylvania,Wood product manufacturing,$1063
Pennsylvania,Furniture and related product manufacturing,$1225
Pennsylvania,Nonmetallic mineral product manufacturing,$1706
Pennsylvania,Textile mills and textile product mills,$533
Pennsylvania,"Electrical equipment, appliance, and component manufacturing",$2632
Pennsylvania,Miscellaneous manufacturing,$3343
Pennsylvania,Apparel and leather and allied product manufacturing,$396
Pennsylvania,Printing and related support activities,$1963
Rhode Island,"Motor vehicle, body, trailer, and parts manufacturing",$7
Rhode Island,Petroleum and coal products manufacturing,$22
Rhode Island,Chemical manufacturing,$502
Rhode Island,Primary metal manufacturing,$394
Rhode Island,Paper manufacturing,$60
Rhode Island,Food and beverage and tobacco product manufacturing,$262
Rhode Island,Fabricated metal product manufacturing,$293
Rhode Island,Other transportation equipment manufacturing,$232
Rhode Island,Plastics and rubber products manufacturing,$289
Rhode Island,Computer and electronic product manufacturing,$286
Rhode Island,Machinery manufacturing,$151
Rhode Island,Wood product manufacturing,$35
Rhode Island,Furniture and related product manufacturing,$66
Rhode Island,Nonmetallic mineral product manufacturing,$57
Rhode Island,Textile mills and textile product mills,$188
Rhode Island,"Electrical equipment, appliance, and component manufacturing",$121
Rhode Island,Miscellaneous manufacturing,$733
Rhode Island,Apparel and leather and allied product manufacturing,$7
Rhode Island,Printing and related support activities,$78
South Carolina,"Motor vehicle, body, trailer, and parts manufacturing",$2486
South Carolina,Petroleum and coal products manufacturing,$180
South Carolina,Chemical manufacturing,$3493
South Carolina,Primary metal manufacturing,$758
South Carolina,Paper manufacturing,$2295
South Carolina,Food and beverage and tobacco product manufacturing,$1607
South Carolina,Fabricated metal product manufacturing,$2178
South Carolina,Other transportation equipment manufacturing,$1086
South Carolina,Plastics and rubber products manufacturing,$2910
South Carolina,Computer and electronic product manufacturing,$662
South Carolina,Machinery manufacturing,$2598
South Carolina,Wood product manufacturing,$528
South Carolina,Furniture and related product manufacturing,$253
South Carolina,Nonmetallic mineral product manufacturing,$666
South Carolina,Textile mills and textile product mills,$1577
South Carolina,"Electrical equipment, appliance, and component manufacturing",$2055
South Carolina,Miscellaneous manufacturing,$815
South Carolina,Apparel and leather and allied product manufacturing,$67
South Carolina,Printing and related support activities,$241
South Dakota,"Motor vehicle, body, trailer, and parts manufacturing",$151
South Dakota,Petroleum and coal products manufacturing,$35
South Dakota,Chemical manufacturing,$321
South Dakota,Primary metal manufacturing,$45
South Dakota,Paper manufacturing,$59
South Dakota,Food and beverage and tobacco product manufacturing,$548
South Dakota,Fabricated metal product manufacturing,$261
South Dakota,Other transportation equipment manufacturing,$18
South Dakota,Plastics and rubber products manufacturing,$99
South Dakota,Computer and electronic product manufacturing,$125
South Dakota,Machinery manufacturing,$704
South Dakota,Wood product manufacturing,$95
South Dakota,Furniture and related product manufacturing,$110
South Dakota,Nonmetallic mineral product manufacturing,$104
South Dakota,Textile mills and textile product mills,$23
South Dakota,"Electrical equipment, appliance, and component manufacturing",$54
South Dakota,Miscellaneous manufacturing,$802
South Dakota,Apparel and leather and allied product manufacturing,$12
South Dakota,Printing and related support activities,$67
Tennessee,"Motor vehicle, body, trailer, and parts manufacturing",$3737
Tennessee,Petroleum and coal products manufacturing,$575
Tennessee,Chemical manufacturing,$4294
Tennessee,Primary metal manufacturing,$1178
Tennessee,Paper manufacturing,$2555
Tennessee,Food and beverage and tobacco product manufacturing,$6472
Tennessee,Fabricated metal product manufacturing,$3485
Tennessee,Other transportation equipment manufacturing,$400
Tennessee,Plastics and rubber products manufacturing,$2066
Tennessee,Computer and electronic product manufacturing,$1788
Tennessee,Machinery manufacturing,$2653
Tennessee,Wood product manufacturing,$656
Tennessee,Furniture and related product manufacturing,$432
Tennessee,Nonmetallic mineral product manufacturing,$927
Tennessee,Textile mills and textile product mills,$414
Tennessee,"Electrical equipment, appliance, and component manufacturing",$2629
Tennessee,Miscellaneous manufacturing,$2358
Tennessee,Apparel and leather and allied product manufacturing,$243
Tennessee,Printing and related support activities,$803
Texas,"Motor vehicle, body, trailer, and parts manufacturing",$4950
Texas,Petroleum and coal products manufacturing,$54939
Texas,Chemical manufacturing,$36040
Texas,Primary metal manufacturing,$3099
Texas,Paper manufacturing,$2222
Texas,Food and beverage and tobacco product manufacturing,$10842
Texas,Fabricated metal product manufacturing,$12165
Texas,Other transportation equipment manufacturing,$8502
Texas,Plastics and rubber products manufacturing,$4473
Texas,Computer and electronic product manufacturing,$25274
Texas,Machinery manufacturing,$17461
Texas,Wood product manufacturing,$1250
Texas,Furniture and related product manufacturing,$1749
Texas,Nonmetallic mineral product manufacturing,$2943
Texas,Textile mills and textile product mills,$464
Texas,"Electrical equipment, appliance, and component manufacturing",$2090
Texas,Miscellaneous manufacturing,$2850
Texas,Apparel and leather and allied product manufacturing,$438
Texas,Printing and related support activities,$1647
Utah,"Motor vehicle, body, trailer, and parts manufacturing",$527
Utah,Petroleum and coal products manufacturing,$1819
Utah,Chemical manufacturing,$1872
Utah,Primary metal manufacturing,$3553
Utah,Paper manufacturing,$484
Utah,Food and beverage and tobacco product manufacturing,$1301
Utah,Fabricated metal product manufacturing,$846
Utah,Other transportation equipment manufacturing,$684
Utah,Plastics and rubber products manufacturing,$443
Utah,Computer and electronic product manufacturing,$1835
Utah,Machinery manufacturing,$379
Utah,Wood product manufacturing,$62
Utah,Furniture and related product manufacturing,$532
Utah,Nonmetallic mineral product manufacturing,$476
Utah,Textile mills and textile product mills,$58
Utah,"Electrical equipment, appliance, and component manufacturing",$250
Utah,Miscellaneous manufacturing,$2044
Utah,Apparel and leather and allied product manufacturing,$21
Utah,Printing and related support activities,$352
Vermont,"Motor vehicle, body, trailer, and parts manufacturing",$35
Vermont,Petroleum and coal products manufacturing,$24
Vermont,Chemical manufacturing,$41
Vermont,Primary metal manufacturing,$17
Vermont,Paper manufacturing,$92
Vermont,Food and beverage and tobacco product manufacturing,$460
Vermont,Fabricated metal product manufacturing,$163
Vermont,Other transportation equipment manufacturing,$85
Vermont,Plastics and rubber products manufacturing,$92
Vermont,Computer and electronic product manufacturing,$1019
Vermont,Machinery manufacturing,$222
Vermont,Wood product manufacturing,$94
Vermont,Furniture and related product manufacturing,$50
Vermont,Nonmetallic mineral product manufacturing,$105
Vermont,Textile mills and textile product mills,$5
Vermont,"Electrical equipment, appliance, and component manufacturing",$143
Vermont,Miscellaneous manufacturing,$182
Vermont,Apparel and leather and allied product manufacturing,$20
Vermont,Printing and related support activities,$46
Virginia,"Motor vehicle, body, trailer, and parts manufacturing",$753
Virginia,Petroleum and coal products manufacturing,$314
Virginia,Chemical manufacturing,$3805
Virginia,Primary metal manufacturing,$329
Virginia,Paper manufacturing,$936
Virginia,Food and beverage and tobacco product manufacturing,$15656
Virginia,Fabricated metal product manufacturing,$1806
Virginia,Other transportation equipment manufacturing,$2550
Virginia,Plastics and rubber products manufacturing,$2029
Virginia,Computer and electronic product manufacturing,$1707
Virginia,Machinery manufacturing,$2474
Virginia,Wood product manufacturing,$845
Virginia,Furniture and related product manufacturing,$653
Virginia,Nonmetallic mineral product manufacturing,$761
Virginia,Textile mills and textile product mills,$934
Virginia,"Electrical equipment, appliance, and component manufacturing",$964
Virginia,Miscellaneous manufacturing,$628
Virginia,Apparel and leather and allied product manufacturing,$76
Virginia,Printing and related support activities,$673
Washington,"Motor vehicle, body, trailer, and parts manufacturing",$322
Washington,Petroleum and coal products manufacturing,$4387
Washington,Chemical manufacturing,$898
Washington,Primary metal manufacturing,$616
Washington,Paper manufacturing,$1258
Washington,Food and beverage and tobacco product manufacturing,$3427
Washington,Fabricated metal product manufacturing,$1576
Washington,Other transportation equipment manufacturing,$20610
Washington,Plastics and rubber products manufacturing,$755
Washington,Computer and electronic product manufacturing,$2873
Washington,Machinery manufacturing,$1806
Washington,Wood product manufacturing,$1048
Washington,Furniture and related product manufacturing,$325
Washington,Nonmetallic mineral product manufacturing,$761
Washington,Textile mills and textile product mills,$153
Washington,"Electrical equipment, appliance, and component manufacturing",$378
Washington,Miscellaneous manufacturing,$1037
Washington,Apparel and leather and allied product manufacturing,$95
Washington,Printing and related support activities,$400
West Virginia,"Motor vehicle, body, trailer, and parts manufacturing",$277
West Virginia,Petroleum and coal products manufacturing,$339
West Virginia,Chemical manufacturing,$2395
West Virginia,Primary metal manufacturing,$432
West Virginia,Paper manufacturing,$41
West Virginia,Food and beverage and tobacco product manufacturing,$231
West Virginia,Fabricated metal product manufacturing,$449
West Virginia,Other transportation equipment manufacturing,$282
West Virginia,Plastics and rubber products manufacturing,$322
West Virginia,Computer and electronic product manufacturing,$84
West Virginia,Machinery manufacturing,$158
West Virginia,Wood product manufacturing,$310
West Virginia,Furniture and related product manufacturing,$76
West Virginia,Nonmetallic mineral product manufacturing,$235
West Virginia,Textile mills and textile product mills,$9
West Virginia,"Electrical equipment, appliance, and component manufacturing",$79
West Virginia,Miscellaneous manufacturing,$166
West Virginia,Apparel and leather and allied product manufacturing,$5
West Virginia,Printing and related support activities,$61
Wisconsin,"Motor vehicle, body, trailer, and parts manufacturing",$1745
Wisconsin,Petroleum and coal products manufacturing,$328
Wisconsin,Chemical manufacturing,$3521
Wisconsin,Primary metal manufacturing,$1125
Wisconsin,Paper manufacturing,$3926
Wisconsin,Food and beverage and tobacco product manufacturing,$6456
Wisconsin,Fabricated metal product manufacturing,$5545
Wisconsin,Other transportation equipment manufacturing,$1495
Wisconsin,Plastics and rubber products manufacturing,$2636
Wisconsin,Computer and electronic product manufacturing,$2815
Wisconsin,Machinery manufacturing,$7048
Wisconsin,Wood product manufacturing,$968
Wisconsin,Furniture and related product manufacturing,$1034
Wisconsin,Nonmetallic mineral product manufacturing,$1118
Wisconsin,Textile mills and textile product mills,$292
Wisconsin,"Electrical equipment, appliance, and component manufacturing",$2948
Wisconsin,Miscellaneous manufacturing,$1212
Wisconsin,Apparel and leather and allied product manufacturing,$141
Wisconsin,Printing and related support activities,$1992
Wyoming,"Motor vehicle, body, trailer, and parts manufacturing",$18
Wyoming,Petroleum and coal products manufacturing,$1176
Wyoming,Chemical manufacturing,$468
Wyoming,Primary metal manufacturing,$4
Wyoming,Paper manufacturing,$0
Wyoming,Food and beverage and tobacco product manufacturing,$74
Wyoming,Fabricated metal product manufacturing,$130
Wyoming,Other transportation equipment manufacturing,$4
Wyoming,Plastics and rubber products manufacturing,$29
Wyoming,Computer and electronic product manufacturing,$11
Wyoming,Machinery manufacturing,$50
Wyoming,Wood product manufacturing,$19
Wyoming,Furniture and related product manufacturing,$9
Wyoming,Nonmetallic mineral product manufacturing,$83
Wyoming,Textile mills and textile product mills,$8
Wyoming,"Electrical equipment, appliance, and component manufacturing",$45
Wyoming,Miscellaneous manufacturing,$6
Wyoming,Apparel and leather and allied product manufacturing,$2
Wyoming,Printing and related support activities,$10
