State,Sector,GDP
Connecticut,Wood product manufacturing,$58
Connecticut,Furniture and related product manufacturing,$186
Connecticut,Nonmetallic mineral product manufacturing,$190
Connecticut,Textile mills and textile product mills,$191
Connecticut,"Electrical equipment, appliance, and component manufacturing",$1714
Connecticut,Miscellaneous manufacturing,$2040
Connecticut,Apparel and leather and allied product manufacturing,$104
Connecticut,Printing and related support activities,$446
Delaware,"Motor vehicle, body, trailer, and parts manufacturing",$14
Delaware,Petroleum and coal products manufacturing,$507
Delaware,Chemical manufacturing,$1188
Delaware,Primary metal manufacturing,$42
Delaware,Paper manufacturing,$236
Delaware,Food and beverage and tobacco product manufacturing,$683
Delaware,Fabricated metal product manufacturing,$129
Delaware,Other transportation equipment manufacturing,$57
Delaware,Plastics and rubber products manufacturing,$256
Delaware,Computer and electronic product manufacturing,$445
Delaware,Machinery manufacturing,$61
Delaware,Wood product manufacturing,$16
Delaware,Furniture and related product manufacturing,$41
Delaware,Nonmetallic mineral product manufacturing,$52
Delaware,Textile mills and textile product mills,$67
Delaware,"Electrical equipment, appliance, and component manufacturing",$128
Delaware,Miscellaneous manufacturing,$183
Delaware,Apparel and leather and allied product manufacturing,$6
Delaware,Printing and related support activities,$33
District of Columbia,"Motor vehicle, body, trailer, and parts manufacturing",$0
District of Columbia,Petroleum and coal products manufacturing,$83
District of Columbia,Chemical manufacturing,$92
District of Columbia,Primary metal manufacturing,$1
District of Columbia,Paper manufacturing,$0
District of Columbia,Food and beverage and tobacco product manufacturing,$9
District of Columbia,Fabricated metal product manufacturing,$10
District of Columbia,Other transportation equipment manufacturing,$0
District of Columbia,Plastics and rubber products manufacturing,$0
District of Columbia,Computer and electronic product manufacturing,$19
District of Columbia,Machinery manufacturing,$1
District of Columbia,Wood product manufacturing,$0
District of Columbia,Furniture and related product manufacturing,$12
District of Columbia,Nonmetallic mineral product manufacturing,$9
District of Columbia,Textile mills and textile product mills,$1
District of Columbia,"Electrical equipment, appliance, and component manufacturing",$1
District of Columbia,Miscellaneous manufacturing,$4
District of Columbia,Apparel and leather and allied product manufacturing,$1
District of Columbia,Printing and related support activities,$23
Florida,"Motor vehicle, body, trailer, and parts manufacturing",$447
Florida,Petroleum and coal products manufacturing,$524
Florida,Chemical manufacturing,$3498
Florida,Primary metal manufacturing,$431
Florida,Paper manufacturing,$1459
Florida,Food and beverage and tobacco product manufacturing,$5540
Florida,Fabricated metal product manufacturing,$2154
Florida,Other transportation equipment manufacturing,$3096
Florida,Plastics and rubber products manufacturing,$1154
Florida,Computer and electronic product manufacturing,$6274
Florida,Machinery manufacturing,$1753
Florida,Wood product manufacturing,$739
Florida,Furniture and related product manufacturing,$618
Florida,Nonmetallic mineral product manufacturing,$1046
Florida,Textile mills and textile product mills,$339
Florida,"Electrical equipment, appliance, and component manufacturing",$790
Florida,Miscellaneous manufacturing,$3160
Florida,Apparel and leather and allied product manufacturing,$205
Florida,Printing and related support activities,$988
Georgia,"Motor vehicle, body, trailer, and parts manufacturing",$1436
Georgia,Petroleum and coal products manufacturing,$568
Georgia,Chemical manufacturing,$4538
Georgia,Primary metal manufacturing,$592
Georgia,Paper manufacturing,$3619
Georgia,Food and beverage and tobacco product manufacturing,$11105
Georgia,Fabricated metal product manufacturing,$2071
Georgia,Other transportation equipment manufacturing,$3039
Georgia,Plastics and rubber products manufacturing,$2445
Georgia,Computer and electronic product manufacturing,$1903
Georgia,Machinery manufacturing,$2339
Georgia,Wood product manufacturing,$1002
Georgia,Furniture and related product manufacturing,$731
Georgia,Nonmetallic mineral product manufacturing,$1426
Georgia,Textile mills and textile product mills,$4412
Georgia,"Electrical equipment, appliance, and component manufacturing",$1714
Georgia,Miscellaneous manufacturing,$1262
Georgia,Apparel and leather and allied product manufacturing,$172
Georgia,Printing and related support activities,$1014
Hawaii,"Motor vehicle, body, trailer, and parts manufacturing",$1
Hawaii,Petroleum and coal products manufacturing,$473
Hawaii,Chemical manufacturing,$20
Hawaii,Primary metal manufacturing,$1
Hawaii,Paper manufacturing,$5
Hawaii,Food and beverage and tobacco product manufacturing,$344
Hawaii,Fabricated metal product manufacturing,$25
Hawaii,Other transportation equipment manufacturing,$67
Hawaii,Plastics and rubber products manufacturing,$21
Hawaii,Computer and electronic product manufacturing,$19
Hawaii,Machinery manufacturing,$6
Hawaii,Wood product manufacturing,$12
Hawaii,Furniture and related product manufacturing,$26
Hawaii,Nonmetallic mineral product manufacturing,$63
Hawaii,Textile mills and textile product mills,$15
Hawaii,"Electrical equipment, appliance, and component manufacturing",$5
Hawaii,Miscellaneous manufacturing,$43
Hawaii,Apparel and leather and allied product manufacturing,$21
Hawaii,Printing and related support activities,$35
Idaho,"Motor vehicle, body, trailer, and parts manufacturing",$62
Idaho,Petroleum and coal products manufacturing,$39
Idaho,Chemical manufacturing,$379
Idaho,Primary metal manufacturing,$33
Idaho,Paper manufacturing,$152
Idaho,Food and beverage and tobacco product manufacturing,$1507
Idaho,Fabricated metal product manufacturing,$304
Idaho,Other transportation equipment manufacturing,$130
Idaho,Plastics and rubber products manufacturing,$140
Idaho,Computer and electronic product manufacturing,$3308
Idaho,Machinery manufacturing,$229
Idaho,Wood product manufacturing,$369
Idaho,Furniture and related product manufacturing,$74
Idaho,Nonmetallic mineral product manufacturing,$68
Idaho,Textile mills and textile product mills,$14
Idaho,"Electrical equipment, appliance, and component manufacturing",$80
Idaho,Miscellaneous manufacturing,$78
Idaho,Apparel and leather and allied product manufacturing,$19
Idaho,Printing and related support activities,$57
Illinois,"Motor vehicle, body, trailer, and parts manufacturing",$2204
Illinois,Petroleum and coal products manufacturing,$8946
Illinois,Chemical manufacturing,$10772
Illinois,Primary metal manufacturing,$1898
Illinois,Paper manufacturing,$2106
Illinois,Food and beverage and tobacco product manufacturing,$10829
Illinois,Fabricated metal product manufacturing,$8552
Illinois,Other transportation equipment manufacturing,$726
Illinois,Plastics and rubber products manufacturing,$4903
Illinois,Computer and electronic product manufacturing,$5222
Illinois,Machinery manufacturing,$16684
Illinois,Wood product manufacturing,$437
Illinois,Furniture and related product manufacturing,$915
Illinois,Nonmetallic mineral product manufacturing,$1323
Illinois,Textile mills and textile product mills,$201
Illinois,"Electrical equipment, appliance, and component manufacturing",$2698
Illinois,Miscellaneous manufacturing,$4358
Illinois,Apparel and leather and allied product manufacturing,$405
Illinois,Printing and related support activities,$2153
Indiana,"Motor vehicle, body, trailer, and parts manufacturing",$9967
Indiana,Petroleum and coal products manufacturing,$7018
Indiana,Chemical manufacturing,$19864
Indiana,Primary metal manufacturing,$7256
Indiana,Paper manufacturing,$862
Indiana,Food and beverage and tobacco product manufacturing,$4786
Indiana,Fabricated metal product manufacturing,$4938
Indiana,Other transportation equipment manufacturing,$1493
Indiana,Plastics and rubber products manufacturing,$2883
Indiana,Computer and electronic product manufacturing,$1994
Indiana,Machinery manufacturing,$4365
Indiana,Wood product manufacturing,$683
Indiana,Furniture and related product manufacturing,$1416
Indiana,Nonmetallic mineral product manufacturing,$1007
Indiana,Textile mills and textile product mills,$196
Indiana,"Electrical equipment, appliance, and component manufacturing",$853
Indiana,Miscellaneous manufacturing,$6576
Indiana,Apparel and leather and allied product manufacturing,$162
Indiana,Printing and related support activities,$1123
Iowa,"Motor vehicle, body, trailer, and parts manufacturing",$958
Iowa,Petroleum and coal products manufacturing,$150
Iowa,Chemical manufacturing,$3794
Iowa,Primary metal manufacturing,$753
Iowa,Paper manufacturing,$644
Iowa,Food and beverage and tobacco product manufacturing,$5843
Iowa,Fabricated metal product manufacturing,$1380
Iowa,Other transportation equipment manufacturing,$225
Iowa,Plastics and rubber products manufacturing,$1125
Iowa,Computer and electronic product manufacturing,$1217
Iowa,Machinery manufacturing,$4181
Iowa,Wood product manufacturing,$500
Iowa,Furniture and related product manufacturing,$683
Iowa,Nonmetallic mineral product manufacturing,$522
Iowa,Textile mills and textile product mills,$75
Iowa,"Electrical equipment, appliance, and component manufacturing",$515
Iowa,Miscellaneous manufacturing,$520
Iowa,Apparel and leather and allied product manufacturing,$70
Iowa,Printing and related support activities,$435
Kansas,"Motor vehicle, body, trailer, and parts manufacturing",$619
Kansas,Petroleum and coal products manufacturing,$2702
Kansas,Chemical manufacturing,$1817
Kansas,Primary metal manufacturing,$167
Kansas,Paper manufacturing,$135
Kansas,Food and beverage and tobacco product manufacturing,$3369
Kansas,Fabricated metal product manufacturing,$963
Kansas,Other transportation equipment manufacturing,$4144
Kansas,Plastics and rubber products manufacturing,$923
Kansas,Computer and electronic product manufacturing,$1018
